['https://xjh.haitou.cc/wh/uni-6/page-1', 'https://xjh.haitou.cc/wh/uni-2/page-1', 'https://xjh.haitou.cc/wh/uni-1/page-1', 'https://xjh.haitou.cc/wh/uni-3/page-1']
+--------------------+------------+----------+----------------------------------------+--------------------------------------------+---------------------------------------------+
|        日期        |    专业    |   学校   |                  公司                  |                  宣讲地点                  |                     链接                    |
+--------------------+------------+----------+----------------------------------------+--------------------------------------------+---------------------------------------------+
|  2017-10-18 19:00  |    数据    |   地大   |        上海珍岛信息技术有限公司        |               北区综合楼101                |  https://xjh.haitou.cc/article/522241.html  |
|  2017-10-18 19:00  |    测绘    |   地大   |        紫金矿业集团股份有限公司        |     西区大学生活动中心学术报告厅(一楼)     |  https://xjh.haitou.cc/article/493604.html  |
|  2017-10-19 09:30  |    数据    |   地大   |          雅迪科技集团有限公司          |               北区综合楼106                |  https://xjh.haitou.cc/article/506907.html  |
|  2017-10-19 09:30  |    GIS     |   地大   |              天津市勘察院              |       西区物探楼222报告厅(地空学院)        |  https://xjh.haitou.cc/article/535917.html  |
|  2017-10-19 10:00  |    测绘    |   地大   |        山西省地勘局二一二地质队        |      西区资源报告厅主楼330(资源学院)       |  https://xjh.haitou.cc/article/530614.html  |
|  2017-10-19 14:00  |    测绘    |   地大   |          五冶集团上海有限公司          |     西区大学生活动中心学术报告厅(一楼)     |  https://xjh.haitou.cc/article/536523.html  |
|  2017-10-19 14:00  |    数据    |   地大   |      武汉精测电子技术股份有限公司      |               研究生院化一阶               |  https://xjh.haitou.cc/article/491750.html  |
|  2017-10-19 14:00  |    地理    |   地大   |          新晨科技股份有限公司          |               西区教三楼305                |  https://xjh.haitou.cc/article/506539.html  |
|  2017-10-19 14:30  |    测绘    |   地大   |     中国水利水电第十工程局有限公司     |               西区教三楼101                |  https://xjh.haitou.cc/article/524108.html  |
|  2017-10-19 14:30  |    测绘    |   地大   |      中建铁路投资建设集团有限公司      |               西区教三楼208                |  https://xjh.haitou.cc/article/531285.html  |
|  2017-10-19 14:30  |    数据    |   地大   |    康泰医学系统(秦皇岛)股份有限公司    |               西区教三楼502                |  https://xjh.haitou.cc/article/522196.html  |
|  2017-10-19 14:30  |    地理    |   地大   |          浙江保融科技有限公司          |               西区教三楼406                |  https://xjh.haitou.cc/article/490364.html  |
|  2017-10-19 14:30  |    数据    |   地大   |        武汉扬讯信息科技有限公司        |               西区教三楼402                |  https://xjh.haitou.cc/article/490329.html  |
|  2017-10-19 15:30  |    测绘    |   地大   |    北京高能时代环境技术股份有限公司    |               西区教三楼304                |  https://xjh.haitou.cc/article/490369.html  |
|  2017-10-18 18:00  |    地理    |   武大   |       深圳市规划国土发展研究中心       |               资环院220教室                |  https://xjh.haitou.cc/article/529575.html  |
|  2017-10-18 18:00  |    数据    |   武大   |          宁波方太厨具有限公司          |                人文馆(主厅)                |  https://xjh.haitou.cc/article/505278.html  |
|  2017-10-18 18:00  |    数据    |   武大   |         建发房地产集团有限公司         |              经管院景林报告厅              |  https://xjh.haitou.cc/article/499160.html  |
|  2017-10-18 19:00  |    数据    |   武大   |        上海汐泰投资管理有限公司        |             就业中心第一报告厅             |  https://xjh.haitou.cc/article/488833.html  |
